Req_ID,Subsystem,Requirement,Priority,Target_or_Limit,Verification_Method,Design_Artifact,Test_Artifact,Status,Owner,Notes
DFT-0001,Testability,"Define production test and calibration for every accepted analog block with threshold, time and yield impact.",MUST,Every implemented analog block,DFT review,specs/dft/,verification/unit/dft/,NEEDS_DEFINITION,DFT/production,source=MASTER_SPEC.md §33; issue=OI-006
DFT-0002,Testability,Provide digital scan/ATPG and SRAM BIST consistent with security and power domains.,SHOULD,Coverage targets TBD,Fault coverage analysis,specs/dft/,verification/unit/dft/,NEEDS_DEFINITION,DFT/production,source=MASTER_SPEC.md §33; issue=OI-006
DFT-0003,Testability,"Provide analog stimulus, observability, loopback, references and converter self-test within pad constraints.",SHOULD,Coverage targets TBD,Production test plan,specs/dft/,verification/unit/dft/,NEEDS_DEFINITION,DFT/production,source=MASTER_SPEC.md §33; issue=OI-007
DFT-0004,Testability,Control post-manufacturing test access so production features cannot bypass safety and security.,MUST,Access policy TBD,Security/DFT cross-review,specs/dft/,verification/unit/dft/,NEEDS_DEFINITION,DFT/production,source=MASTER_SPEC.md §33; issue=OI-005
PKG-0001,Package,Evaluate fan-out/RDL/laminate/die-stacking partitions against actual die availability and assembly design rules.,SHOULD,TARGET 6–8 mm by 6–8 mm; ≤1.2 mm aspirational,Vendor package feasibility,specs/system/,verification/package/,NEEDS_DEFINITION,Package/physical,source=MASTER_SPEC.md §34–35; issue=OI-007
PKG-0002,Package,"Analyze ground return, substrate coupling, RF isolation and high-current loops adjacent to microvolt sensing.",MUST,Coupling limits TBD,EMC/substrate analysis+test,specs/system/,verification/package/,NEEDS_DEFINITION,Package/physical,source=MASTER_SPEC.md §34–35; issue=OI-004
PKG-0003,Package,"Plan guard, well isolation, quiet references and analog placement using selected PDK isolation structures.",SHOULD,PDK TBD,Floorplan/extraction review,specs/system/,verification/package/,NEEDS_DEFINITION,Package/physical,source=MASTER_SPEC.md §34–35; issue=OI-006
PKG-0004,Package,Retain external transducers and physically unsuitable inductors/optics rather than assuming CMOS integration.,SHOULD,BOM TBD,Physics/package trade study,specs/system/,verification/package/,CANDIDATE,Package/physical,source=MASTER_SPEC.md §34–35; issue=OI-007
PKG-0005,Package,"Verify package parasitic, thermal, warpage, yield and test-access implications before package freeze.",MUST,Limits TBD,Vendor co-design review,specs/system/,verification/package/,NEEDS_DEFINITION,Package/physical,source=MASTER_SPEC.md §34–35; issue=OI-007
VAL-0001,Validation,"Build first-principles, versioned energy, noise, data, timing, area/package and thermal budgets before architecture freeze.",MUST,Each approved mode,Model review and uncertainty sweep,docs/reviews/,reports/signoff/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §43–50,57–58; issue=OI-003"
VAL-0002,Validation,"State operating conditions, provenance, uncertainty and whether evidence is measured, simulated, calculated or assumed for each quantitative target.",MUST,Every quantitative evidence item,Evidence audit,docs/reviews/,reports/signoff/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §43–50,57–58; issue=none"
VAL-0003,Validation,"Provide appropriate physical references, nuisance variables and statistics before upgrading a research biomarker claim.",MUST,Protocol TBD,Independent validation plan,docs/reviews/,reports/signoff/,RESEARCH_ONLY,Systems engineering,"source=MASTER_SPEC.md §43–50,57–58; issue=OI-005"
VAL-0004,Validation,"Map every frozen ID to analysis, design, test evidence and review status before signoff.",MUST,Every frozen ID,Traceability audit,docs/reviews/,reports/signoff/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §43–50,57–58; issue=none"
VAL-0005,Validation,"Release mask data only after clean signoff or formally approved waivers, provenance, hashes and qualified review.",MUST,Release candidate,Tapeout checklist,docs/reviews/,reports/signoff/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §43–50,57–58; issue=OI-006"
